city,state_id,lookup,state_name
Grant-Valkaria,FL,"Grant-Valkaria,Florida",Florida
Todd Creek,CO,"Todd Creek,Colorado",Colorado
Indian Rocks Beach,FL,"Indian Rocks Beach,Florida",Florida
Buena,NJ,"Buena,New Jersey",New Jersey
Sellersville,PA,"Sellersville,Pennsylvania",Pennsylvania
Phoenix Lake,CA,"Phoenix Lake,California",California
Wrightwood,CA,"Wrightwood,California",California
Mifflinburg,PA,"Mifflinburg,Pennsylvania",Pennsylvania
June Park,FL,"June Park,Florida",Florida
Adamsville,AL,"Adamsville,Alabama",Alabama
Imbéry,PR,"Imbéry,Puerto Rico",Puerto Rico
Imperial,MO,"Imperial,Missouri",Missouri
Caldwell,TX,"Caldwell,Texas",Texas
Lytle,TX,"Lytle,Texas",Texas
India Hook,SC,"India Hook,South Carolina",South Carolina
Welcome,NC,"Welcome,North Carolina",North Carolina
Florida,PR,"Florida,Puerto Rico",Puerto Rico
Magnolia,NJ,"Magnolia,New Jersey",New Jersey
Liberty,NY,"Liberty,New York",New York
Hamilton,NY,"Hamilton,New York",New York
Shady Hollow,TX,"Shady Hollow,Texas",Texas
Orangetree,FL,"Orangetree,Florida",Florida
Chalfont,PA,"Chalfont,Pennsylvania",Pennsylvania
Humboldt Hill,CA,"Humboldt Hill,California",California
Oneida,TN,"Oneida,Tennessee",Tennessee
Port Aransas,TX,"Port Aransas,Texas",Texas
Beaver,PA,"Beaver,Pennsylvania",Pennsylvania
Lafayette,OR,"Lafayette,Oregon",Oregon
Kewaskum,WI,"Kewaskum,Wisconsin",Wisconsin
Rising Sun-Lebanon,DE,"Rising Sun-Lebanon,Delaware",Delaware
Buchanan,MI,"Buchanan,Michigan",Michigan
Benton Heights,MI,"Benton Heights,Michigan",Michigan
Belleair,FL,"Belleair,Florida",Florida
Mountain View Acres,CA,"Mountain View Acres,California",California
Williamston,SC,"Williamston,South Carolina",South Carolina
Barboursville,WV,"Barboursville,West Virginia",West Virginia
Larch Way,WA,"Larch Way,Washington",Washington
Mulberry,FL,"Mulberry,Florida",Florida
Hokes Bluff,AL,"Hokes Bluff,Alabama",Alabama
Prairie Heights,WA,"Prairie Heights,Washington",Washington
Becker,MN,"Becker,Minnesota",Minnesota
Whitmore Village,HI,"Whitmore Village,Hawaii",Hawaii
Mifflintown,PA,"Mifflintown,Pennsylvania",Pennsylvania
Meadow Lake,NM,"Meadow Lake,New Mexico",New Mexico
Nashville,AR,"Nashville,Arkansas",Arkansas
Edgewood,OH,"Edgewood,Ohio",Ohio
Parker,FL,"Parker,Florida",Florida
San Carlos,AZ,"San Carlos,Arizona",Arizona
Olivarez,TX,"Olivarez,Texas",Texas
Hearne,TX,"Hearne,Texas",Texas
Redland,AL,"Redland,Alabama",Alabama
Freeburg,IL,"Freeburg,Illinois",Illinois
Raymond,WA,"Raymond,Washington",Washington
Cotulla,TX,"Cotulla,Texas",Texas
Monroeville,AL,"Monroeville,Alabama",Alabama
Spackenkill,NY,"Spackenkill,New York",New York
East Tawas,MI,"East Tawas,Michigan",Michigan
Lebanon,IL,"Lebanon,Illinois",Illinois
Lake Belvedere Estates,FL,"Lake Belvedere Estates,Florida",Florida
Waverly,OH,"Waverly,Ohio",Ohio
Lamar,MO,"Lamar,Missouri",Missouri
Hatillo,PR,"Hatillo,Puerto Rico",Puerto Rico
North Richmond,CA,"North Richmond,California",California
Lyons,GA,"Lyons,Georgia",Georgia
Mojave,CA,"Mojave,California",California
Pittsfield,IL,"Pittsfield,Illinois",Illinois
Pocomoke City,MD,"Pocomoke City,Maryland",Maryland
Dorneyville,PA,"Dorneyville,Pennsylvania",Pennsylvania
Deer Park,IL,"Deer Park,Illinois",Illinois
Mountain Lakes,NJ,"Mountain Lakes,New Jersey",New Jersey
Harbison Canyon,CA,"Harbison Canyon,California",California
Hiram,GA,"Hiram,Georgia",Georgia
Adjuntas,PR,"Adjuntas,Puerto Rico",Puerto Rico
Mount Pleasant,PA,"Mount Pleasant,Pennsylvania",Pennsylvania
Mystic,CT,"Mystic,Connecticut",Connecticut
China Grove,NC,"China Grove,North Carolina",North Carolina
Masontown,PA,"Masontown,Pennsylvania",Pennsylvania
Valley Green,PA,"Valley Green,Pennsylvania",Pennsylvania
Carthage,MS,"Carthage,Mississippi",Mississippi
Lower Grand Lagoon,FL,"Lower Grand Lagoon,Florida",Florida
Byram,CT,"Byram,Connecticut",Connecticut
Broken Bow,OK,"Broken Bow,Oklahoma",Oklahoma
Fredericktown,MO,"Fredericktown,Missouri",Missouri
Esperance,WA,"Esperance,Washington",Washington
Beecher,IL,"Beecher,Illinois",Illinois
Mayodan,NC,"Mayodan,North Carolina",North Carolina
Silver Summit,UT,"Silver Summit,Utah",Utah
Fort Defiance,AZ,"Fort Defiance,Arizona",Arizona
Libby,MT,"Libby,Montana",Montana
Osawatomie,KS,"Osawatomie,Kansas",Kansas
Pearl River,MS,"Pearl River,Mississippi",Mississippi
Dryden,NY,"Dryden,New York",New York
Greenville,KY,"Greenville,Kentucky",Kentucky
Kenmar,PA,"Kenmar,Pennsylvania",Pennsylvania
Blanchester,OH,"Blanchester,Ohio",Ohio
Spindale,NC,"Spindale,North Carolina",North Carolina
University Gardens,NY,"University Gardens,New York",New York
Woodstock,AL,"Woodstock,Alabama",Alabama
Lancaster,KY,"Lancaster,Kentucky",Kentucky
Pilot Point,TX,"Pilot Point,Texas",Texas
Ogallala,NE,"Ogallala,Nebraska",Nebraska
Orangeburg,NY,"Orangeburg,New York",New York
Ivanhoe,CA,"Ivanhoe,California",California
Central Gardens,TX,"Central Gardens,Texas",Texas
Del Monte Forest,CA,"Del Monte Forest,California",California
Newport,SC,"Newport,South Carolina",South Carolina
Lake Land'Or,VA,"Lake Land'Or,Virginia",Virginia
Long Hill,CT,"Long Hill,Connecticut",Connecticut
Barrington Hills,IL,"Barrington Hills,Illinois",Illinois
Taylor Creek,FL,"Taylor Creek,Florida",Florida
Lisbon Falls,ME,"Lisbon Falls,Maine",Maine
Prescott,WI,"Prescott,Wisconsin",Wisconsin
Sebring,OH,"Sebring,Ohio",Ohio
Whiteriver,AZ,"Whiteriver,Arizona",Arizona
Malden,MO,"Malden,Missouri",Missouri
Springfield,VT,"Springfield,Vermont",Vermont
Monte Vista,CO,"Monte Vista,Colorado",Colorado
Hometown,IL,"Hometown,Illinois",Illinois
Heritage Hills,NY,"Heritage Hills,New York",New York
Scandia,MN,"Scandia,Minnesota",Minnesota
Carlyle,IL,"Carlyle,Illinois",Illinois
Westover,WV,"Westover,West Virginia",West Virginia
Louisville,MS,"Louisville,Mississippi",Mississippi
Bluffton,OH,"Bluffton,Ohio",Ohio
Ovilla,TX,"Ovilla,Texas",Texas
El Jebel,CO,"El Jebel,Colorado",Colorado
Country Lake Estates,NJ,"Country Lake Estates,New Jersey",New Jersey
Columbus,TX,"Columbus,Texas",Texas
Helena Valley Northwest,MT,"Helena Valley Northwest,Montana",Montana
Roanoke,AL,"Roanoke,Alabama",Alabama
Fortville,IN,"Fortville,Indiana",Indiana
Windom,MN,"Windom,Minnesota",Minnesota
Aldan,PA,"Aldan,Pennsylvania",Pennsylvania
Ketchum,ID,"Ketchum,Idaho",Idaho
Otisville,NY,"Otisville,New York",New York
Holt,AL,"Holt,Alabama",Alabama
Indian Mountain Lake,PA,"Indian Mountain Lake,Pennsylvania",Pennsylvania
Minersville,PA,"Minersville,Pennsylvania",Pennsylvania
Tiffin,IA,"Tiffin,Iowa",Iowa
Oakwood,GA,"Oakwood,Georgia",Georgia
Louisburg,KS,"Louisburg,Kansas",Kansas
Cockrell Hill,TX,"Cockrell Hill,Texas",Texas
High Ridge,MO,"High Ridge,Missouri",Missouri
Blythewood,SC,"Blythewood,South Carolina",South Carolina
East Merrimack,NH,"East Merrimack,New Hampshire",New Hampshire
Bradley Beach,NJ,"Bradley Beach,New Jersey",New Jersey
Virden,IL,"Virden,Illinois",Illinois
Barnesville,OH,"Barnesville,Ohio",Ohio
Le Roy,NY,"Le Roy,New York",New York
Westville,NJ,"Westville,New Jersey",New Jersey
Heritage Village,CT,"Heritage Village,Connecticut",Connecticut
Sayre,OK,"Sayre,Oklahoma",Oklahoma
Constantine,MI,"Constantine,Michigan",Michigan
Louisville,TN,"Louisville,Tennessee",Tennessee
Ridge Wood Heights,FL,"Ridge Wood Heights,Florida",Florida
Taft,TX,"Taft,Texas",Texas
Port Reading,NJ,"Port Reading,New Jersey",New Jersey
Rice Lake,MN,"Rice Lake,Minnesota",Minnesota
Herculaneum,MO,"Herculaneum,Missouri",Missouri
Deer Park,WA,"Deer Park,Washington",Washington
Mount Hermon,VA,"Mount Hermon,Virginia",Virginia
Lake of the Pines,CA,"Lake of the Pines,California",California
McSwain,CA,"McSwain,California",California
Dewey-Humboldt,AZ,"Dewey-Humboldt,Arizona",Arizona
Charlevoix,MI,"Charlevoix,Michigan",Michigan
Riverdale,NJ,"Riverdale,New Jersey",New Jersey
Peotone,IL,"Peotone,Illinois",Illinois
Viroqua,WI,"Viroqua,Wisconsin",Wisconsin
Etowah,TN,"Etowah,Tennessee",Tennessee
Holtville,AL,"Holtville,Alabama",Alabama
Alfred,NY,"Alfred,New York",New York
Garden Ridge,TX,"Garden Ridge,Texas",Texas
Columbus,MN,"Columbus,Minnesota",Minnesota
Moses Lake North,WA,"Moses Lake North,Washington",Washington
Rockville,IN,"Rockville,Indiana",Indiana
New Carlisle,IN,"New Carlisle,Indiana",Indiana
Pocola,OK,"Pocola,Oklahoma",Oklahoma
Bellville,TX,"Bellville,Texas",Texas
Westport,NC,"Westport,North Carolina",North Carolina
Stanton,KY,"Stanton,Kentucky",Kentucky
Skyline View,PA,"Skyline View,Pennsylvania",Pennsylvania
Christopher,IL,"Christopher,Illinois",Illinois
Austin,IN,"Austin,Indiana",Indiana
Laguna Beach,FL,"Laguna Beach,Florida",Florida
New Tazewell,TN,"New Tazewell,Tennessee",Tennessee
Skippack,PA,"Skippack,Pennsylvania",Pennsylvania
West Menlo Park,CA,"West Menlo Park,California",California
Grant,MN,"Grant,Minnesota",Minnesota
Malmstrom AFB,MT,"Malmstrom AFB,Montana",Montana
Randleman,NC,"Randleman,North Carolina",North Carolina
Waverly,NY,"Waverly,New York",New York
Walthourville,GA,"Walthourville,Georgia",Georgia
Pemberwick,CT,"Pemberwick,Connecticut",Connecticut
Cassville,MO,"Cassville,Missouri",Missouri
Woodstown,NJ,"Woodstown,New Jersey",New Jersey
Jacksboro,TX,"Jacksboro,Texas",Texas
Burns,OR,"Burns,Oregon",Oregon
St. Marys,WV,"St. Marys,West Virginia",West Virginia
Bethel Manor,VA,"Bethel Manor,Virginia",Virginia
Caseyville,IL,"Caseyville,Illinois",Illinois
Goodview,MN,"Goodview,Minnesota",Minnesota
Sinking Spring,PA,"Sinking Spring,Pennsylvania",Pennsylvania
Niwot,CO,"Niwot,Colorado",Colorado
Moxee,WA,"Moxee,Washington",Washington
Fleetwood,PA,"Fleetwood,Pennsylvania",Pennsylvania
Thornwood,NY,"Thornwood,New York",New York
Monongahela,PA,"Monongahela,Pennsylvania",Pennsylvania
Perry,MI,"Perry,Michigan",Michigan
Rosewood Heights,IL,"Rosewood Heights,Illinois",Illinois
Turners Falls,MA,"Turners Falls,Massachusetts",Massachusetts
Bystrom,CA,"Bystrom,California",California
West Milwaukee,WI,"West Milwaukee,Wisconsin",Wisconsin
Presidio,TX,"Presidio,Texas",Texas
Mitchell,IN,"Mitchell,Indiana",Indiana
Bonifay,FL,"Bonifay,Florida",Florida
Grafton,ND,"Grafton,North Dakota",North Dakota
Scottdale,PA,"Scottdale,Pennsylvania",Pennsylvania
Whiteman AFB,MO,"Whiteman AFB,Missouri",Missouri
Wood Village,OR,"Wood Village,Oregon",Oregon
Lathrup Village,MI,"Lathrup Village,Michigan",Michigan
Grand Bay,AL,"Grand Bay,Alabama",Alabama
Tri-City,OR,"Tri-City,Oregon",Oregon
Burnham,IL,"Burnham,Illinois",Illinois
Bristow,OK,"Bristow,Oklahoma",Oklahoma
Rutherfordton,NC,"Rutherfordton,North Carolina",North Carolina
Park Layne,OH,"Park Layne,Ohio",Ohio
Dimmitt,TX,"Dimmitt,Texas",Texas
Austin,AR,"Austin,Arkansas",Arkansas
Brices Creek,NC,"Brices Creek,North Carolina",North Carolina
Whispering Pines,NC,"Whispering Pines,North Carolina",North Carolina
Charlotte Harbor,FL,"Charlotte Harbor,Florida",Florida
Newcomerstown,OH,"Newcomerstown,Ohio",Ohio
Morgan,UT,"Morgan,Utah",Utah
Northwoods,MO,"Northwoods,Missouri",Missouri
Herricks,NY,"Herricks,New York",New York
Sharpsville,PA,"Sharpsville,Pennsylvania",Pennsylvania
Ripley,WV,"Ripley,West Virginia",West Virginia
Mississippi State,MS,"Mississippi State,Mississippi",Mississippi
Arcadia,SC,"Arcadia,South Carolina",South Carolina
Mosinee,WI,"Mosinee,Wisconsin",Wisconsin
Boyertown,PA,"Boyertown,Pennsylvania",Pennsylvania
Narrows,VA,"Narrows,Virginia",Virginia
Morada,CA,"Morada,California",California
New Lebanon,OH,"New Lebanon,Ohio",Ohio
Rosemont,IL,"Rosemont,Illinois",Illinois
Ho-Ho-Kus,NJ,"Ho-Ho-Kus,New Jersey",New Jersey
University Center,VA,"University Center,Virginia",Virginia
Dawson,GA,"Dawson,Georgia",Georgia
Wright City,MO,"Wright City,Missouri",Missouri
Marine City,MI,"Marine City,Michigan",Michigan
Walton,KY,"Walton,Kentucky",Kentucky
Crescent Springs,KY,"Crescent Springs,Kentucky",Kentucky
Ridgway,PA,"Ridgway,Pennsylvania",Pennsylvania
Rio Dell,CA,"Rio Dell,California",California
Coopersville,MI,"Coopersville,Michigan",Michigan
Kimberly,ID,"Kimberly,Idaho",Idaho
Shrewsbury,NJ,"Shrewsbury,New Jersey",New Jersey
Egg Harbor City,NJ,"Egg Harbor City,New Jersey",New Jersey
Bethlehem,NC,"Bethlehem,North Carolina",North Carolina
Crooked River Ranch,OR,"Crooked River Ranch,Oregon",Oregon
Hampton,SC,"Hampton,South Carolina",South Carolina
Ellisburg,NJ,"Ellisburg,New Jersey",New Jersey
Camdenton,MO,"Camdenton,Missouri",Missouri
Buckingham,FL,"Buckingham,Florida",Florida
Fayetteville,NY,"Fayetteville,New York",New York
Centralia,MO,"Centralia,Missouri",Missouri
Forty Fort,PA,"Forty Fort,Pennsylvania",Pennsylvania
Haleiwa,HI,"Haleiwa,Hawaii",Hawaii
Jamestown,OH,"Jamestown,Ohio",Ohio
Sunset Beach,NC,"Sunset Beach,North Carolina",North Carolina
Lorane,PA,"Lorane,Pennsylvania",Pennsylvania
Woodson Terrace,MO,"Woodson Terrace,Missouri",Missouri
Algonac,MI,"Algonac,Michigan",Michigan
Eatonton,GA,"Eatonton,Georgia",Georgia
Northwest Harwich,MA,"Northwest Harwich,Massachusetts",Massachusetts
Peaceful Valley,WA,"Peaceful Valley,Washington",Washington
Russell,KS,"Russell,Kansas",Kansas
Red Springs,NC,"Red Springs,North Carolina",North Carolina
Breñas,PR,"Breñas,Puerto Rico",Puerto Rico
Belzoni,MS,"Belzoni,Mississippi",Mississippi
North El Monte,CA,"North El Monte,California",California
Weaverville,NC,"Weaverville,North Carolina",North Carolina
Riva,MD,"Riva,Maryland",Maryland
Fussels Corner,FL,"Fussels Corner,Florida",Florida
Fenton,MO,"Fenton,Missouri",Missouri
Waynesboro,MS,"Waynesboro,Mississippi",Mississippi
Gentry,AR,"Gentry,Arkansas",Arkansas
Trent Woods,NC,"Trent Woods,North Carolina",North Carolina
Mount Olive,AL,"Mount Olive,Alabama",Alabama
Sparta,IL,"Sparta,Illinois",Illinois
Crandall,TX,"Crandall,Texas",Texas
Akron,PA,"Akron,Pennsylvania",Pennsylvania
Bellaire,OH,"Bellaire,Ohio",Ohio
Southgate,KY,"Southgate,Kentucky",Kentucky
Kildeer,IL,"Kildeer,Illinois",Illinois
Danielson,CT,"Danielson,Connecticut",Connecticut
Louisa,KY,"Louisa,Kentucky",Kentucky
Rayville,LA,"Rayville,Louisiana",Louisiana
Churchville,PA,"Churchville,Pennsylvania",Pennsylvania
Rocky Ford,CO,"Rocky Ford,Colorado",Colorado
Marlow,OK,"Marlow,Oklahoma",Oklahoma
Rossville,GA,"Rossville,Georgia",Georgia
Woodbourne,PA,"Woodbourne,Pennsylvania",Pennsylvania
Medford,WI,"Medford,Wisconsin",Wisconsin
Ashburn,GA,"Ashburn,Georgia",Georgia
Lonoke,AR,"Lonoke,Arkansas",Arkansas
South Chicago Heights,IL,"South Chicago Heights,Illinois",Illinois
Kahaluu-Keauhou,HI,"Kahaluu-Keauhou,Hawaii",Hawaii
San Joaquin,CA,"San Joaquin,California",California
Hampton,IA,"Hampton,Iowa",Iowa
Centerville,MN,"Centerville,Minnesota",Minnesota
Lakewood,IL,"Lakewood,Illinois",Illinois
Alexandria,AL,"Alexandria,Alabama",Alabama
Silver Lake,NJ,"Silver Lake,New Jersey",New Jersey
Plains,PA,"Plains,Pennsylvania",Pennsylvania
Bloomfield Hills,MI,"Bloomfield Hills,Michigan",Michigan
Gamewell,NC,"Gamewell,North Carolina",North Carolina
Mabank,TX,"Mabank,Texas",Texas
Parkesburg,PA,"Parkesburg,Pennsylvania",Pennsylvania
Jena,LA,"Jena,Louisiana",Louisiana
Shannon Hills,AR,"Shannon Hills,Arkansas",Arkansas
Southside,AR,"Southside,Arkansas",Arkansas
Richwood,TX,"Richwood,Texas",Texas
Captain Cook,HI,"Captain Cook,Hawaii",Hawaii
Greencastle,PA,"Greencastle,Pennsylvania",Pennsylvania
Lawnton,PA,"Lawnton,Pennsylvania",Pennsylvania
Westborough,MA,"Westborough,Massachusetts",Massachusetts
Lares,PR,"Lares,Puerto Rico",Puerto Rico
Louisburg,NC,"Louisburg,North Carolina",North Carolina
Mills,WY,"Mills,Wyoming",Wyoming
Shavano Park,TX,"Shavano Park,Texas",Texas
Madison,WV,"Madison,West Virginia",West Virginia
Pittsboro,NC,"Pittsboro,North Carolina",North Carolina
Osage Beach,MO,"Osage Beach,Missouri",Missouri
Nassau Bay,TX,"Nassau Bay,Texas",Texas
Harrisburg,OR,"Harrisburg,Oregon",Oregon
Tiptonville,TN,"Tiptonville,Tennessee",Tennessee
Brookfield,MO,"Brookfield,Missouri",Missouri
Park Hill,OK,"Park Hill,Oklahoma",Oklahoma
Lonsdale,MN,"Lonsdale,Minnesota",Minnesota
Spencer,OK,"Spencer,Oklahoma",Oklahoma
Dunlap,TN,"Dunlap,Tennessee",Tennessee
Southport,NC,"Southport,North Carolina",North Carolina
Blackshear,GA,"Blackshear,Georgia",Georgia
Le Claire,IA,"Le Claire,Iowa",Iowa
Verona,VA,"Verona,Virginia",Virginia
Fairway,KS,"Fairway,Kansas",Kansas
Sykesville,MD,"Sykesville,Maryland",Maryland
Fort Gibson,OK,"Fort Gibson,Oklahoma",Oklahoma
Clay Center,KS,"Clay Center,Kansas",Kansas
Brazoria,TX,"Brazoria,Texas",Texas
Thorndale,PA,"Thorndale,Pennsylvania",Pennsylvania
Crewe,VA,"Crewe,Virginia",Virginia
Marshall,WI,"Marshall,Wisconsin",Wisconsin
Oaklyn,NJ,"Oaklyn,New Jersey",New Jersey
Holloman AFB,NM,"Holloman AFB,New Mexico",New Mexico
Emerald Lakes,PA,"Emerald Lakes,Pennsylvania",Pennsylvania
Kalama,WA,"Kalama,Washington",Washington
Warminster Heights,PA,"Warminster Heights,Pennsylvania",Pennsylvania
Tupper Lake,NY,"Tupper Lake,New York",New York
Elverson,PA,"Elverson,Pennsylvania",Pennsylvania
St. James,MO,"St. James,Missouri",Missouri
South Brooksville,FL,"South Brooksville,Florida",Florida
Mahanoy City,PA,"Mahanoy City,Pennsylvania",Pennsylvania
Hephzibah,GA,"Hephzibah,Georgia",Georgia
Moosup,CT,"Moosup,Connecticut",Connecticut
Wadena,MN,"Wadena,Minnesota",Minnesota
Carroll Valley,PA,"Carroll Valley,Pennsylvania",Pennsylvania
Chagrin Falls,OH,"Chagrin Falls,Ohio",Ohio
Wellsville,UT,"Wellsville,Utah",Utah
Morrison,IL,"Morrison,Illinois",Illinois
Level Green,PA,"Level Green,Pennsylvania",Pennsylvania
Linden,MI,"Linden,Michigan",Michigan
Nichols Hills,OK,"Nichols Hills,Oklahoma",Oklahoma
Justin,TX,"Justin,Texas",Texas
Bunker Hill Village,TX,"Bunker Hill Village,Texas",Texas
Sparks,TX,"Sparks,Texas",Texas
Ball,LA,"Ball,Louisiana",Louisiana
Falls City,NE,"Falls City,Nebraska",Nebraska
North Great River,NY,"North Great River,New York",New York
Clearlake Riviera,CA,"Clearlake Riviera,California",California
Clearview,WA,"Clearview,Washington",Washington
Brewerton,NY,"Brewerton,New York",New York
Fruit Hill,OH,"Fruit Hill,Ohio",Ohio
Mount Angel,OR,"Mount Angel,Oregon",Oregon
Vineyards,FL,"Vineyards,Florida",Florida
Bayard,NM,"Bayard,New Mexico",New Mexico
Butte,AK,"Butte,Alaska",Alaska
Jefferson,NC,"Jefferson,North Carolina",North Carolina
Deephaven,MN,"Deephaven,Minnesota",Minnesota
Aguilita,PR,"Aguilita,Puerto Rico",Puerto Rico
Carefree,AZ,"Carefree,Arizona",Arizona
Chula Vista,TX,"Chula Vista,Texas",Texas
Oracle,AZ,"Oracle,Arizona",Arizona
San Castle,FL,"San Castle,Florida",Florida
Highland Beach,FL,"Highland Beach,Florida",Florida
Pageland,SC,"Pageland,South Carolina",South Carolina
